Department,Sex,Mode,Att-S1,Att-S2,Att-S3,Att-S4,Att-S5,Att-S6,Att-S7,Att-S8,Discounts,NO-Re-exams,GPA-S1,GPA-S2,GPA-S3,GPA-S4,GPA-S5,GPA-S6,GPA-S7,GPA-S8,Status 
Computer-Application,Male,Fulltime,0.63,0.54,0.81,0.92,0.71,0.78,0.77,0.52,0,0,76.53,73.33,87.75,90,82.6,90.75,91.33,85.3,Will Graduate
Computer-Application,Male,Parttime,0.8,0.93,0.74,0.94,0.97,0.54,0.81,0.93,0,0,58.67,66.17,61.45,69.3,68.5,70.25,72.67,74.4,Will Graduate
Computer-Application,Male,Fulltime,0.71,0.77,0.72,0.8,0.83,0.75,0.79,0.67,0,0,54,59.17,56.5,63.4,54.6,64.83,66.08,70.1,Will Graduate
Computer-Application,Male,Fulltime,0.52,0.58,0.87,0.58,0.81,0.8,0.57,0.96,0,0,66.82,72.5,57.67,73.1,62.2,64.17,71.83,61.3,Will Graduate
Computer-Application,Male,Parttime,0.61,0.66,0.98,0.92,0.67,0.61,0.52,0.8,0,0,85.17,75.17,77.83,82.3,68,81.58,79.5,69.8,Will Graduate
Computer-Application,Female,Fulltime,0.93,0.76,0.53,0.85,0.66,0.79,0.94,0.86,100,0,86.83,86.42,92.92,93.1,91.6,91.67,92,90.8,Will Graduate
Computer-Application,Male,Parttime,0.97,0.78,0.98,0.59,0.99,0.69,0.5,0.92,0,0,79.33,70.5,68.92,81.2,71.4,78,80.33,80.6,Will Graduate
Computer-Application,Male,Parttime,0.62,0.83,0.79,0.98,0.54,0.76,0.68,0.62,0,0,64,53.33,52.08,67.58,57.25,56.67,57.1,67.13,Will Graduate
Computer-Application,Male,Fulltime,0.56,0.97,0.67,0.96,0.78,0.52,0.77,0.79,0,0,89.33,90.67,71.83,70.2,54.9,58,56.33,65.8,Will Graduate
Computer-Application,Male,Parttime,0.65,0.87,0.92,0.98,0.67,0.91,0.53,0.91,0,0,80.67,87.67,86.42,85.4,74.5,82.33,77.33,79.8,Will Graduate
Computer-Application,Female,Parttime,0.99,0.71,0.58,0.79,0.7,0.66,0.68,0.93,0,0,75.75,76.58,76.2,77,69.6,69.33,55.33,71,Will Graduate
Computer-Application,Male,Fulltime,0.63,0.84,0.82,0.59,0.99,0.71,0.56,0.7,0,0,82.5,62.83,71.67,70.42,62.92,70.42,75.5,79.25,Will Graduate
Computer-Application,Male,Fulltime,0.82,0.99,0.52,0.62,0.55,0.89,0.82,0.94,5,0,65.83,68.58,70.88,79.83,72.58,74.33,67.8,76.5,Will Graduate
Computer-Application,Male,Fulltime,0.72,0.79,0.78,0.55,0.92,0.97,0.57,0.95,15,0,80.08,72.83,75.08,80.5,68.5,72.42,80.4,82.25,Will Graduate
Computer-Application,Male,Fulltime,0.54,0.84,0.61,0.52,0.76,0.77,0.55,0.95,15,0,73.48,66.08,66.83,67.08,60.83,70.67,66.2,76.75,Will Graduate
Computer-Application,Female,Parttime,0.59,0.64,0.91,0.65,0.53,0.71,0.94,0.59,5,0,80.67,73.67,80.58,85.25,84.17,87.33,90.6,85.5,Will Graduate
Computer-Application,Female,Fulltime,0.62,0.85,0.88,0.87,0.71,0.93,0.54,0.89,5,0,66.33,65.75,59.92,65.67,59.17,72.5,73.4,72.5,Will Graduate
Computer-Application,Male,Fulltime,0.87,0.66,0.71,0.59,0.82,0.81,0.61,0.63,0,0,75.92,74.67,73.08,71.67,73.58,78,78.7,76,Will Graduate
Computer-Application,Female,Fulltime,0.82,0.7,0.54,0.6,0.88,0.61,0.94,0.86,5,0,78.17,77.08,78.75,78.25,75.42,82.17,82.9,81.88,Will Graduate
Computer-Application,Male,Fulltime,0.5,0.91,0.56,0.57,0.67,0.65,0.77,0.87,15,0,74.28,74.5,67.25,75,70.33,74.92,75.5,83,Will Graduate
Computer-Application,Male,Fulltime,0.57,0.72,0.89,0.82,0.92,0.64,0.94,0.8,0,0,77.42,82.67,73.33,64.67,61.83,72.25,68.2,75.13,Will Graduate
Computer-Application,Male,Fulltime,0.69,0.53,0.61,0.93,0.86,0.52,0.53,0.58,20,0,74.67,66.67,65.67,68,63.75,66.67,70.8,81.5,Will Graduate
Computer-Application,Female,Fulltime,0.82,0.84,0.78,0.88,0.54,0.59,0.81,0.8,20,0,74.42,83.08,77.5,83.17,78.08,88.67,87.8,91.5,Will Graduate
Computer-Application,Male,Fulltime,0.59,0.54,0.94,0.58,0.59,0.69,0.71,0.98,0,0,72.92,65.75,60.42,70.5,70.75,72.75,74.2,79.63,Will Graduate
Computer-Application,Male,Fulltime,0.76,0.86,0.51,0.51,0.52,0.58,0.84,0.98,15,0,77.92,70,68.83,75.58,78.92,81.83,72.2,80.88,Will Graduate
Computer-Application,Male,Parttime,0.86,0.87,0.77,0.76,0.5,0.7,0.51,0.96,5,0,63.25,60.67,57.33,68.58,65.92,66,85.4,77.63,Will Graduate
Computer-Application,Male,Fulltime,0.77,0.99,0.64,0.72,0.71,0.9,0.87,0.65,0,0,85.33,89.58,82.21,90.25,84.42,87,95.4,89.75,Will Graduate
Computer-Application,Male,Fulltime,0.64,0.75,0.85,0.99,0.9,0.53,0.98,0.8,5,0,84.42,84.33,84,84.5,86.92,86.67,87.5,88.13,Will Graduate
Computer-Application,Male,Fulltime,0.59,0.52,0.86,0.75,0.65,0.53,0.69,0.86,12.5,0,90.83,89.42,74.92,82.67,79.33,85.92,82.4,92,Will Graduate
Computer-Application,Male,Fulltime,0.75,0.68,0.65,0.73,0.7,0.82,0.98,0.95,20,0,62.58,60.42,59.75,71.08,68.92,73,77.6,80.75,Will Graduate
Computer-Application,Male,Fulltime,0.83,0.79,0.99,0.57,0.88,0.72,0.94,0.56,5,0,71.08,80.42,67.38,76.33,81.58,83.17,88.6,91.5,Will Graduate
