Department,Sex,Mode,T-Att,Discounts,NO-Re-exams,CGPA,Status 
Computer-Application,Male,Fulltime,0.71,0,0,84.69875,Will Graduate
Computer-Application,Male,Parttime,0.83,0,0,67.67625,Will Graduate
Computer-Application,Male,Fulltime,0.76,0,0,61.085,Will Graduate
Computer-Application,Male,Fulltime,0.71,0,0,66.19875,Will Graduate
Computer-Application,Male,Parttime,0.72,0,0,77.41875,Will Graduate
Computer-Application,Female,Fulltime,0.79,100,0,90.6675,Will Graduate
Computer-Application,Male,Parttime,0.80,0,0,76.285,Will Graduate
Computer-Application,Male,Parttime,0.73,0,0,59.3925,Will Graduate
Computer-Application,Male,Fulltime,0.75,0,0,69.6325,Will Graduate
Computer-Application,Male,Parttime,0.81,0,0,81.765,Will Graduate
Computer-Application,Female,Parttime,0.76,0,0,71.34875,Will Graduate
Computer-Application,Male,Fulltime,0.73,0,0,71.93875,Will Graduate
Computer-Application,Male,Fulltime,0.77,5,0,72.04125,Will Graduate
Computer-Application,Male,Fulltime,0.78,15,0,76.5075,Will Graduate
Computer-Application,Male,Fulltime,0.69,15,0,68.49,Will Graduate
Computer-Application,Female,Parttime,0.70,5,0,83.47125,Will Graduate
Computer-Application,Female,Fulltime,0.79,5,0,66.905,Will Graduate
Computer-Application,Male,Fulltime,0.71,0,0,75.2025,Will Graduate
Computer-Application,Female,Fulltime,0.74,5,0,79.3275,Will Graduate
Computer-Application,Male,Fulltime,0.69,15,0,74.3475,Will Graduate
Computer-Application,Male,Fulltime,0.79,0,0,71.9375,Will Graduate
Computer-Application,Male,Fulltime,0.66,20,0,69.71625,Will Graduate
Computer-Application,Female,Fulltime,0.76,20,0,83.0275,Will Graduate
Computer-Application,Male,Fulltime,0.70,0,0,70.865,Will Graduate
Computer-Application,Male,Fulltime,0.70,15,0,75.77,Will Graduate
Computer-Application,Male,Parttime,0.74,5,0,68.0975,Will Graduate
Computer-Application,Male,Fulltime,0.78,0,0,87.9925,Will Graduate
Computer-Application,Male,Fulltime,0.81,5,0,85.80875,Will Graduate
Computer-Application,Male,Fulltime,0.68,12.5,0,84.68625,Will Graduate
Computer-Application,Male,Fulltime,0.78,20,0,69.2625,Will Graduate
Computer-Application,Male,Fulltime,0.79,5,0,80.0075,Will Graduate
Computer-Application,Male,Fulltime,0.75,0,0,62.315,Will Graduate
Computer-Application,Male,Fulltime,0.73,20,0,95.2575,Will Graduate
Computer-Application,Male,Fulltime,0.75,0,0,71.69,Will Graduate
Computer-Application,Male,Parttime,0.81,15,0,68.76,Will Graduate
Computer-Application,Male,Fulltime,0.78,20,0,84.24125,Will Graduate
Computer-Application,Male,Fulltime,0.73,20,0,67.675,Will Graduate
Computer-Application,Male,Parttime,0.77,20,0,65.53125,Will Graduate
Computer-Application,Male,Fulltime,0.78,15,0,74.63125,Will Graduate
Computer-Application,Male,Parttime,0.81,15,0,70.86125,Will Graduate
Computer-Application,Male,Fulltime,0.79,15,0,81.4875,Will Graduate
Computer-Application,Female,Fulltime,0.75,12.5,0,72.26875,Will Graduate
Computer-Application,Male,Fulltime,0.71,0,0,62.28625,Will Graduate
Computer-Application,Male,Fulltime,0.74,0,0,59.82,Will Graduate
Computer-Application,Male,Fulltime,0.72,0,0,65.6975,Will Graduate
Computer-Application,Male,Fulltime,0.86,0,0,67.7575,Will Graduate
Computer-Application,Male,Parttime,0.84,0,0,66.04125,Will Graduate
Computer-Application,Male,Fulltime,0.79,20,0,65.6475,Will Graduate
Computer-Application,Male,Fulltime,0.76,0,0,74.25875,Will Graduate
Computer-Application,Male,Parttime,0.73,0,0,71.365,Will Graduate
Computer-Application,Male,Fulltime,0.67,0,0,89.0875,Will Graduate
Computer-Application,Male,Fulltime,0.79,0,0,60.51625,Will Graduate
Computer-Application,Male,Fulltime,0.87,20,0,61.54625,Will Graduate
Computer-Application,Male,Parttime,0.80,0,0,68.40125,Will Graduate
Computer-Application,Male,Parttime,0.77,0,0,62.53,Will Graduate
Computer-Application,Female,Fulltime,0.73,5,0,77.11625,Will Graduate
Computer-Application,Male,Parttime,0.81,5,0,66.18375,Will Graduate
Computer-Application,Male,Parttime,0.68,20,0,76.5125,Will Graduate
Computer-Application,Male,Fulltime,0.74,0,0,75.67875,Will Graduate
Computer-Application,Male,Parttime,0.68,0,0,78.93375,Will Graduate
Computer-Application,Male,Parttime,0.65,5,0,62.98875,Will Graduate
Computer-Application,Male,Fulltime,0.76,100,0,95.355,Will Graduate
Computer-Application,Male,Parttime,0.77,0,0,71.90625,Will Graduate
Computer-Application,Male,Parttime,0.70,0,0,62.95875,Will Graduate
Computer-Application,Female,Parttime,0.77,0,0,64.72,Will Graduate
Computer-Application,Male,Fulltime,0.77,20,0,73.90875,Will Graduate
Computer-Application,Male,Fulltime,0.75,0,0,78.9775,Will Graduate
Computer-Application,Male,Parttime,0.82,0,0,85.35125,Will Graduate
Computer-Application,Male,Parttime,0.79,0,0,70.91875,Will Graduate
Computer-Application,Male,Parttime,0.80,0,0,74.815,Will Graduate
Computer-Application,Male,Fulltime,0.74,0,0,91.64625,Will Graduate
Computer-Application,Male,Parttime,0.84,0,0,65.19875,Will Graduate
Computer-Application,Male,Parttime,0.78,0,0,70.29125,Will Graduate
Computer-Application,Male,Fulltime,0.72,0,0,88.48625,Will Graduate
Computer-Application,Male,Fulltime,0.76,0,0,87.55375,Will Graduate
Computer-Application,Male,Fulltime,0.74,0,0,68.98875,Will Graduate
Computer-Application,Male,Parttime,0.76,0,0,83.8475,Will Graduate
Computer-Application,Male,Fulltime,0.76,0,0,69.345,Will Graduate
Computer-Application,Male,Fulltime,0.68,0,0,87.67125,Will Graduate
Computer-Application,Female,Fulltime,0.71,100,0,89.845,Will Graduate
Computer-Application,Male,Parttime,0.74,0,0,92.1025,Will Graduate
Computer-Application,Male,Parttime,0.67,0,0,85.01875,Will Graduate
Computer-Application,Male,Fulltime,0.81,0,11,65.49625,Will Graduate
Computer-Application,Male,Fulltime,0.67,0,0,65.53375,Will Graduate
Computer-Application,Male,Fulltime,0.77,0,1,61.2975,Will Graduate
Computer-Application,Male,Fulltime,0.78,0,0,83.665,Will Graduate
Computer-Application,Male,Fulltime,0.70,0,0,72.68875,Will Graduate
Computer-Application,Male,Parttime,0.71,0,0,84.77125,Will Graduate
Computer-Application,Male,Fulltime,0.73,0,0,70.57125,Will Graduate
Computer-Application,Male,Fulltime,0.83,100,1,77.185,Will Graduate
Computer-Application,Female,Fulltime,0.73,100,0,93.0675,Will Graduate
