Department,Gender,Mode,GPA,status
Medicine_and_General_Surgery,Male,Fulltime,0.1,Dropout
Nursing,Female,Fulltime,0.1,Dropout
Medical_Laboratory_Science,Male,Fulltime,0.1,Dropout
Medical_Laboratory_Science,Male,Fulltime,0.1,Dropout
Medical_Laboratory_Science,Female,Fulltime,0.1,Dropout
Computer_Application,Male,Fulltime,0.1,Dropout
Computer_Application,Male,Fulltime,0.1,Dropout
Computer_Application,Male,Fulltime,0.1,Dropout
Computer_Application,Male,Parttime,0.1,Dropout
Computer_Application,Male,Parttime,0.1,Dropout
Computer_Application,Male,Fulltime,0.1,Dropout
Computer_Application,Male,Fulltime,0.1,Dropout
Computer_Application,Male,Parttime,0.1,Dropout
Computer_Application,Male,Parttime,0.1,Dropout
Computer_Application,Male,Parttime,0.1,Dropout
Computer_Application,Male,Fulltime,0.1,Dropout
Computer_Application,Male,Fulltime,0.1,Dropout
Computer_Multimedia,Male,Fulltime,0.1,Dropout
Computer_Multimedia,Female,Fulltime,0.1,Dropout
Computer_Networking_and_Security,Male,Fulltime,0.1,Dropout
Computer_Networking_and_Security,Male,Fulltime,0.1,Dropout
Computer_Networking_and_Security,Male,Fulltime,0.1,Dropout
Medicine_and_General_Surgery,Female,Fulltime,0.2,Dropout
Medical_Laboratory_Science,Female,Fulltime,0.2,Dropout
Medical_Laboratory_Science,Female,Fulltime,0.2,Dropout
Public_Health,Female,Fulltime,0.2,Dropout
Pharmacology,Male,Parttime,0.2,Dropout
Midwifery,Female,Fulltime,0.2,Dropout
Computer_Application,Male,Parttime,0.2,Dropout
Computer_Application,Male,Fulltime,0.2,Dropout
Computer_Application,Male,Parttime,0.2,Dropout
Computer_Application,Male,Fulltime,0.2,Dropout
Computer_Application,Male,Fulltime,0.2,Dropout
Computer_Application,Male,Fulltime,0.2,Dropout
Computer_Application,Male,Fulltime,0.2,Dropout
Computer_Application,Male,Parttime,0.2,Dropout
Computer_Application,Female,Fulltime,0.2,Dropout
Computer_Application,Male,Fulltime,0.2,Dropout
Computer_Multimedia,Male,Fulltime,0.2,Dropout
Computer_Multimedia,Male,Fulltime,0.2,Dropout
Computer_Networking_and_Security,Male,Fulltime,0.2,Dropout
Computer_Networking_and_Security,Male,Fulltime,0.2,Dropout
Computer_Networking_and_Security,Male,Fulltime,0.2,Dropout
Electrical_and_Electronics,Male,Fulltime,0.2,Dropout
Electrical_and_Electronics,Male,Fulltime,0.2,Dropout
Electrical_and_Electronics,Male,Fulltime,0.2,Dropout
Business_Administration,Female,Fulltime,0.2,Dropout
Business_Administration,Male,Fulltime,0.2,Dropout
Public_Administration,Male,Fulltime,0.2,Dropout
Economics,Male,Fulltime,0.2,Dropout
Economics,Male,Fulltime,0.2,Dropout
Nursing,Female,Fulltime,0.3,Dropout
Nursing,Female,Fulltime,0.3,Dropout
Nursing,Female,Fulltime,0.3,Dropout
Public_Health,Male,Fulltime,0.3,Dropout
Public_Health,Female,Fulltime,0.3,Dropout
Pharmacology,Female,Parttime,0.3,Dropout
Midwifery,Female,Fulltime,0.3,Dropout
Computer_Application,Male,Parttime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Parttime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Parttime,0.3,Dropout
Computer_Application,Male,Parttime,0.3,Dropout
Computer_Application,Male,Parttime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Application,Female,Fulltime,0.3,Dropout
Computer_Application,Female,Fulltime,0.3,Dropout
Computer_Application,Male,Fulltime,0.3,Dropout
Computer_Networking_and_Security,Male,Fulltime,0.3,Dropout
Computer_Networking_and_Security,Male,Fulltime,0.3,Dropout
Banking_and_Finance,Female,Fulltime,0.3,Dropout
Economics,Male,Fulltime,0.3,Dropout
Nursing,Female,Fulltime,0.4,Dropout
Nursing,Female,Fulltime,0.4,Dropout
Nursing,Female,Fulltime,0.4,Dropout
Medical_Laboratory_Science,Female,Fulltime,0.4,Dropout
Midwifery,Female,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Parttime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
Computer_Application,Male,Parttime,0.4,Dropout
Computer_Application,Male,Parttime,0.4,Dropout
Computer_Application,Male,Parttime,0.4,Dropout
Computer_Application,Male,Fulltime,0.4,Dropout
