Department,Gender,Mode,GPA
Medicine_and_General_Surgery,Male,Fulltime,0.1
Nursing,Female,Fulltime,0.1
Medical_Laboratory_Science,Male,Fulltime,0.1
Medical_Laboratory_Science,Male,Fulltime,0.1
Medical_Laboratory_Science,Female,Fulltime,0.1
Computer_Application,Male,Fulltime,0.1
Computer_Application,Male,Fulltime,0.1
Computer_Application,Male,Fulltime,0.1
Computer_Application,Male,Parttime,0.1
Computer_Application,Male,Parttime,0.1
Computer_Application,Male,Fulltime,0.1
Computer_Application,Male,Fulltime,0.1
Computer_Application,Male,Parttime,0.1
Computer_Application,Male,Parttime,0.1
Computer_Application,Male,Parttime,0.1
Computer_Application,Male,Fulltime,0.1
Computer_Application,Male,Fulltime,0.1
Computer_Multimedia,Male,Fulltime,0.1
Computer_Multimedia,Female,Fulltime,0.1
Computer_Networking_and_Security,Male,Fulltime,0.1
Computer_Networking_and_Security,Male,Fulltime,0.1
Computer_Networking_and_Security,Male,Fulltime,0.1
Medicine_and_General_Surgery,Female,Fulltime,0.2
Medical_Laboratory_Science,Female,Fulltime,0.2
Medical_Laboratory_Science,Female,Fulltime,0.2
Public_Health,Female,Fulltime,0.2
Pharmacology,Male,Parttime,0.2
Midwifery,Female,Fulltime,0.2
Computer_Application,Male,Parttime,0.2
Computer_Application,Male,Fulltime,0.2
Computer_Application,Male,Parttime,0.2
Computer_Application,Male,Fulltime,0.2
Computer_Application,Male,Fulltime,0.2
Computer_Application,Male,Fulltime,0.2
Computer_Application,Male,Fulltime,0.2
Computer_Application,Male,Parttime,0.2
Computer_Application,Female,Fulltime,0.2
Computer_Application,Male,Fulltime,0.2
Computer_Multimedia,Male,Fulltime,0.2
Computer_Multimedia,Male,Fulltime,0.2
Computer_Networking_and_Security,Male,Fulltime,0.2
Computer_Networking_and_Security,Male,Fulltime,0.2
Computer_Networking_and_Security,Male,Fulltime,0.2
Electrical_and_Electronics,Male,Fulltime,0.2
Electrical_and_Electronics,Male,Fulltime,0.2
Electrical_and_Electronics,Male,Fulltime,0.2
Business_Administration,Female,Fulltime,0.2
Business_Administration,Male,Fulltime,0.2
Public_Administration,Male,Fulltime,0.2
Economics,Male,Fulltime,0.2
Economics,Male,Fulltime,0.2
Nursing,Female,Fulltime,0.3
Nursing,Female,Fulltime,0.3
Nursing,Female,Fulltime,0.3
Public_Health,Male,Fulltime,0.3
Public_Health,Female,Fulltime,0.3
Pharmacology,Female,Parttime,0.3
Midwifery,Female,Fulltime,0.3
